,Detroit Tigers, 4, @,  Minnesota Twins, 10,     Boxscore,
,Houston Astros, 3, @,  New York Mets, 4,     Boxscore,
,Baltimore Orioles, 7, @,  Tampa Bay Devil Rays, 12,     Boxscore,
, Toronto Blue Jays, 2, @,  Texas Rangers, 1,     Boxscore,
,Arizona D'Backs, 3, @,  Washington Nationals, 5,     Boxscore,
,New York Yankees, 1, @,  Baltimore Orioles, 8,     Boxscore,
,Tampa Bay Devil Rays, 0, @,  Boston Red Sox, 10,     Boxscore,
,Seattle Mariners, 4, @,  Chicago White Sox, 6,     Boxscore,
, Houston Astros, 11, @,  Cincinnati Reds, 2,     Boxscore,
, Minnesota Twins, 3, @,  Cleveland Indians, 2,     Boxscore,
, San Francisco Giants, 13, @,  Colorado Rockies, 6,     Boxscore,
,Detroit Tigers, 5, @,  Kansas City Royals, 6,     Boxscore,
,San Diego Padres, 0, @,  Los Angeles Dodgers, 4,     Boxscore,
, St. Louis Cardinals, 3, @,  Milwaukee Brewers, 0,     Boxscore,
,Florida Marlins, 0, @,  New York Mets, 4,     Boxscore,
, LA Angels of Anaheim, 6, @,  Oakland Athletics, 1,     Boxscore,
, Atlanta Braves, 11, @,  Philadelphia Phillies, 4,     Boxscore,
,Chicago Cubs, 5, @,  Pittsburgh Pirates, 8,     Boxscore,
,Toronto Blue Jays, 2, @,  Texas Rangers, 4,     Boxscore,
,New York Yankees, 6, @,  Baltimore Orioles, 7,     Boxscore,
,Tampa Bay Devil Rays, 2, @,  Boston Red Sox, 6,     Boxscore,
,Seattle Mariners, 1, @,  Chicago White Sox, 2,     Boxscore,
,Houston Astros, 2, @,  Cincinnati Reds, 3,     Boxscore,
, Minnesota Twins, 6, @,  Cleveland Indians, 4,     Boxscore,
,San Francisco Giants, 4, @,  Colorado Rockies, 5,     Boxscore,
, Detroit Tigers, 7, @,  Kansas City Royals, 1,     Boxscore,
,San Diego Padres, 3, @,  Los Angeles Dodgers, 8,     Boxscore,
, St. Louis Cardinals, 5, @,  Milwaukee Brewers, 3,     Boxscore,
,Florida Marlins, 3, @,  New York Mets, 4,     Boxscore,
,LA Angels of Anaheim, 0, @,  Oakland Athletics, 1,     Boxscore,
,Atlanta Braves, 1, @,  Philadelphia Phillies, 2,     Boxscore,
, Chicago Cubs, 4, @,  Pittsburgh Pirates, 3,     Boxscore,
, Toronto Blue Jays, 8, @,  Texas Rangers, 0,     Boxscore,
,Arizona D'Backs, 3, @,  Washington Nationals, 9,     Boxscore,
,New York Yankees, 4, @,  Baltimore Orioles, 8,     Boxscore,
,Tampa Bay Devil Rays, 1, @,  Boston Red Sox, 3,     Boxscore,
, Seattle Mariners, 5, @,  Chicago White Sox, 4,     Boxscore,
,Houston Astros, 5, @,  Cincinnati Reds, 6,     Boxscore,
,Minnesota Twins, 1, @,  Cleveland Indians, 2,     Boxscore,
, San Francisco Giants, 8, @,  Colorado Rockies, 6,     Boxscore,
, Detroit Tigers, 6, @,  Kansas City Royals, 1,     Boxscore,
,San Diego Padres, 0, @,  Los Angeles Dodgers, 6,     Boxscore,
, St. Louis Cardinals, 3, @,  Milwaukee Brewers, 2,     Boxscore,
