, Chicago White Sox, 12, @,  Tampa Bay Rays, 2,     Boxscore,
,Kansas City Royals, 5, @,  Texas Rangers, 6,     Boxscore,
,Oakland Athletics, 0, @,  Toronto Blue Jays, 1,     Boxscore,
, Florida Marlins, 7, @,  Washington Nationals, 4,     Boxscore,
,Colorado Rockies, 3, @,  Arizona D'Backs, 6,     Boxscore,
,Baltimore Orioles, 1, @,  Boston Red Sox, 12,     Boxscore,
, Cincinnati Reds, 4, @,  Houston Astros, 3,     Boxscore,
,Florida Marlins, 0, @,  Pittsburgh Pirates, 8,     Boxscore,
,Atlanta Braves, 2, @,  Washington Nationals, 3,     Boxscore,
,Detroit Tigers, 3, @,  LA Angels of Anaheim, 4,     Boxscore,
, Colorado Rockies, 9, @,  Arizona D'Backs, 6,     Boxscore,
,Chicago White Sox, 3, @,  Baltimore Orioles, 10,     Boxscore,
,Cincinnati Reds, 2, @,  Chicago Cubs, 7,     Boxscore,
,Kansas City Royals, 7, @,  Cleveland Indians, 8,     Boxscore,
,Los Angeles Dodgers, 5, @,  Houston Astros, 8,     Boxscore,
,Oakland Athletics, 3, @,  New York Yankees, 5,     Boxscore,
,Milwaukee Brewers, 4, @,  Philadelphia Phillies, 11,     Boxscore,
,Florida Marlins, 2, @,  Pittsburgh Pirates, 3,     Boxscore,
,Tampa Bay Rays, 2, @,  Seattle Mariners, 4,     Boxscore,
,San Diego Padres, 3, @,  San Francisco Giants, 8,     Boxscore,
,New York Mets, 4, @,  St. Louis Cardinals, 6,     Boxscore,
, Texas Rangers, 5, @,  Toronto Blue Jays, 4,     Boxscore,
,Atlanta Braves, 3, @,  Washington Nationals, 4,     Boxscore,
, Detroit Tigers, 12, @,  LA Angels of Anaheim, 10,     Boxscore,
,Colorado Rockies, 0, @,  Arizona D'Backs, 2,     Boxscore,
, Chicago White Sox, 8, @,  Baltimore Orioles, 2,     Boxscore,
,Minnesota Twins, 1, @,  Boston Red Sox, 10,     Boxscore,
,Minnesota Twins, 3, @,  Boston Red Sox, 7,     Boxscore,
, Cincinnati Reds, 3, @,  Chicago Cubs, 0,     Boxscore,
, Kansas City Royals, 2, @,  Cleveland Indians, 0,     Boxscore,
,Los Angeles Dodgers, 5, @,  Houston Astros, 6,     Boxscore,
,Oakland Athletics, 7, @,  New York Yankees, 9,     Boxscore,
, Milwaukee Brewers, 3, @,  Philadelphia Phillies, 1,     Boxscore,
,Florida Marlins, 4, @,  Pittsburgh Pirates, 7,     Boxscore,
