, Oakland Athletics, 4, @,  Toronto Blue Jays, 3,     Boxscore,
,Houston Astros, 1, @,  Atlanta Braves, 7,     Boxscore,
,Boston Red Sox, 2, @,  Baltimore Orioles, 3,     Boxscore,
,Arizona D'Backs, 5, @,  Chicago Cubs, 10,     Boxscore,
, Minnesota Twins, 8, @,  Cleveland Indians, 3,     Boxscore,
,LA Angels of Anaheim, 1, @,  Detroit Tigers, 5,     Boxscore,
,Washington Nationals, 3, @,  Florida Marlins, 9,     Boxscore,
,Pittsburgh Pirates, 3, @,  Los Angeles Dodgers, 9,     Boxscore,
,Chicago White Sox, 3, @,  New York Yankees, 12,     Boxscore,
,New York Mets, 5, @,  Philadelphia Phillies, 11,     Boxscore,
,Milwaukee Brewers, 0, @,  San Diego Padres, 8,     Boxscore,
, Texas Rangers, 3, @,  Seattle Mariners, 1,     Boxscore,
, Colorado Rockies, 4, @,  San Francisco Giants, 1,     Boxscore,
,Cincinnati Reds, 0, @,  St. Louis Cardinals, 6,     Boxscore,
,Kansas City Royals, 0, @,  Tampa Bay Rays, 1,     Boxscore,
,Oakland Athletics, 3, @,  Toronto Blue Jays, 9,     Boxscore,
,LA Angels of Anaheim, 8, @,  Boston Red Sox, 17,     Boxscore,
,Kansas City Royals, 1, @,  Chicago White Sox, 5,     Boxscore,
,New York Mets, 2, @,  Cincinnati Reds, 3,     Boxscore,
, Toronto Blue Jays, 5, @,  Cleveland Indians, 1,     Boxscore,
, Arizona D'Backs, 9, @,  Houston Astros, 1,     Boxscore,
