, Tampa Bay Rays, 3, @,  Toronto Blue Jays, 2,     Boxscore,
, Miami Marlins, 6, @,  Atlanta Braves, 2,     Boxscore,
,New York Yankees, 5, @,  Baltimore Orioles, 7,     Boxscore,
, Washington Nationals, 10, @,  Boston Red Sox, 5,     Boxscore,
,Cincinnati Reds, 0, @,  Chicago Cubs, 5,     Boxscore,
,Chicago White Sox, 2, @,  Cleveland Indians, 4,     Boxscore,
,Oakland Athletics, 1, @,  Houston Astros, 6,     Boxscore,
,Seattle Mariners, 2, @,  Los Angeles Dodgers, 5,     Boxscore,
,Kansas City Royals, 1, @,  Minnesota Twins, 3,     Boxscore,
,Philadelphia Phillies, 1, @,  New York Mets, 6,     Boxscore,
, Detroit Tigers, 1, @,  Pittsburgh Pirates, 0,     Boxscore,
,Arizona D'Backs, 2, @,  San Diego Padres, 3,     Boxscore,
, Colorado Rockies, 4, @,  San Francisco Giants, 2,     Boxscore,
,Milwaukee Brewers, 2, @,  St. Louis Cardinals, 4,     Boxscore,
, LA Angels of Anaheim, 10, @,  Texas Rangers, 2,     Boxscore,
,Tampa Bay Rays, 7, @,  Toronto Blue Jays, 12,     Boxscore,
,Kansas City Royals, 5, @,  Minnesota Twins, 8,     Boxscore,
,Miami Marlins, 5, @,  New York Mets, 7,     Boxscore,
, Arizona D'Backs, 7, @,  San Francisco Giants, 6,     Boxscore,
,Milwaukee Brewers, 0, @,  St. Louis Cardinals, 4,     Boxscore,
, Tampa Bay Rays, 4, @,  Toronto Blue Jays, 2,     Boxscore,
,Philadelphia Phillies, 2, @,  Washington Nationals, 5,     Boxscore,
,Baltimore Orioles, 2, @,  Boston Red Sox, 3,     Boxscore,
, San Diego Padres, 5, @,  Chicago Cubs, 4,     Boxscore,
,Chicago White Sox, 1, @,  Detroit Tigers, 2,     Boxscore,
, LA Angels of Anaheim, 6, @,  Houston Astros, 3,     Boxscore,
,Oakland Athletics, 4, @,  Kansas City Royals, 6,     Boxscore,
