, Oakland Athletics, 5, @,  Minnesota Twins, 3,     Boxscore,
, Washington Nationals, 7, @,  New York Mets, 3,     Boxscore,
, Colorado Rockies, 6, @,  Pittsburgh Pirates, 5,     Boxscore,
,Los Angeles Dodgers, 2, @,  San Diego Padres, 7,     Boxscore,
, Cleveland Indians, 6, @,  Seattle Mariners, 4,     Boxscore,
, St. Louis Cardinals, 6, @,  San Francisco Giants, 1,     Boxscore,
, Cleveland Indians, 4, @,  LA Angels of Anaheim, 0,     Boxscore,
, St. Louis Cardinals, 8, @,  Arizona D'Backs, 2,     Boxscore,
, Tampa Bay Rays, 16, @,  Boston Red Sox, 5,     Boxscore,
, Oakland Athletics, 2, @,  Chicago White Sox, 1,     Boxscore,
, Texas Rangers, 2, @,  Detroit Tigers, 0,     Boxscore,
, Chicago Cubs, 5, @,  Houston Astros, 4,     Boxscore,
, Colorado Rockies, 7, @,  New York Mets, 6,     Boxscore,
, Cincinnati Reds, 3, @,  San Diego Padres, 2,     Boxscore,
,Toronto Blue Jays, 7, @,  Seattle Mariners, 8,     Boxscore,
, Los Angeles Dodgers, 6, @,  San Francisco Giants, 1,     Boxscore,
,Cleveland Indians, 0, @,  LA Angels of Anaheim, 2,     Boxscore,
,St. Louis Cardinals, 8, @,  Arizona D'Backs, 13,     Boxscore,
,Florida Marlins, 0, @,  Atlanta Braves, 5,     Boxscore,
, Tampa Bay Rays, 3, @,  Boston Red Sox, 2,     Boxscore,
,Oakland Athletics, 5, @,  Chicago White Sox, 6,     Boxscore,
,Texas Rangers, 4, @,  Detroit Tigers, 5,     Boxscore,
,Chicago Cubs, 2, @,  Houston Astros, 11,     Boxscore,
,Kansas City Royals, 3, @,  Minnesota Twins, 4,     Boxscore,
, Cincinnati Reds, 8, @,  San Diego Padres, 2,     Boxscore,
,Toronto Blue Jays, 2, @,  Seattle Mariners, 3,     Boxscore,
,Los Angeles Dodgers, 4, @,  San Francisco Giants, 5,     Boxscore,
,Philadelphia Phillies, 4, @,  Washington Nationals, 7,     Boxscore,
,Cleveland Indians, 3, @,  LA Angels of Anaheim, 4,     Boxscore,
, St. Louis Cardinals, 15, @,  Arizona D'Backs, 5,     Boxscore,
, Florida Marlins, 5, @,  Atlanta Braves, 1,     Boxscore,
, Oakland Athletics, 7, @,  Chicago White Sox, 4,     Boxscore,
,Texas Rangers, 2, @,  Detroit Tigers, 3,     Boxscore,
, Chicago Cubs, 9, @,  Houston Astros, 5,     Boxscore,
, Kansas City Royals, 10, @,  Minnesota Twins, 5,     Boxscore,
,Baltimore Orioles, 4, @,  New York Yankees, 7,     Boxscore,
