,Texas Rangers, 2, @,  Seattle Mariners, 4,     Boxscore,
, Milwaukee Brewers, 6, @,  St. Louis Cardinals, 4,     Boxscore,
, Cleveland Indians, 4, @,  Tampa Bay Rays, 1,     Boxscore,
,New York Yankees, 2, @,  Toronto Blue Jays, 7,     Boxscore,
,Atlanta Braves, 0, @,  Washington Nationals, 3,     Boxscore,
,Cincinnati Reds, 1, @,  Chicago Cubs, 8,     Boxscore,
,San Francisco Giants, 6, @,  Colorado Rockies, 11,     Boxscore,
, Kansas City Royals, 6, @,  Houston Astros, 2,     Boxscore,
,Arizona D'Backs, 2, @,  Los Angeles Dodgers, 5,     Boxscore,
, Chicago White Sox, 3, @,  Minnesota Twins, 1,     Boxscore,
,San Diego Padres, 0, @,  Philadelphia Phillies, 3,     Boxscore,
, Detroit Tigers, 7, @,  Pittsburgh Pirates, 4,     Boxscore,
,Milwaukee Brewers, 0, @,  St. Louis Cardinals, 7,     Boxscore,
, Cleveland Indians, 6, @,  Tampa Bay Rays, 0,     Boxscore,
,Baltimore Orioles, 3, @,  Texas Rangers, 6,     Boxscore,
,New York Yankees, 2, @,  Toronto Blue Jays, 4,     Boxscore,
,Atlanta Braves, 2, @,  Washington Nationals, 6,     Boxscore,
,Toronto Blue Jays, 3, @,  Boston Red Sox, 5,     Boxscore,
, Colorado Rockies, 6, @,  Chicago Cubs, 1,     Boxscore,
, New York Mets, 6, @,  Cleveland Indians, 5,     Boxscore,
,Detroit Tigers, 0, @,  Houston Astros, 1,     Boxscore,
,San Francisco Giants, 3, @,  Los Angeles Dodgers, 7,     Boxscore,
, Atlanta Braves, 6, @,  Miami Marlins, 3,     Boxscore,
,LA Angels of Anaheim, 4, @,  Minnesota Twins, 5,     Boxscore,
, Seattle Mariners, 7, @,  New York Yankees, 1,     Boxscore,
, Kansas City Royals, 4, @,  Oakland Athletics, 2,     Boxscore,
, Washington Nationals, 9, @,  Philadelphia Phillies, 1,     Boxscore,
, Milwaukee Brewers, 8, @,  Pittsburgh Pirates, 4,     Boxscore,
, Arizona D'Backs, 3, @,  San Diego Padres, 2,     Boxscore,
,Cincinnati Reds, 3, @,  St. Louis Cardinals, 14,     Boxscore,
, Chicago White Sox, 1, @,  Tampa Bay Rays, 0,     Boxscore,
, Baltimore Orioles, 11, @,  Texas Rangers, 5,     Boxscore,
,Toronto Blue Jays, 2, @,  Boston Red Sox, 4,     Boxscore,
,Colorado Rockies, 2, @,  Chicago Cubs, 6,     Boxscore,
,New York Mets, 5, @,  Cleveland Indians, 7,     Boxscore,
, Detroit Tigers, 5, @,  Houston Astros, 3,     Boxscore,
, San Francisco Giants, 4, @,  Los Angeles Dodgers, 3,     Boxscore,
, Atlanta Braves, 6, @,  Miami Marlins, 4,     Boxscore,
,LA Angels of Anaheim, 4, @,  Minnesota Twins, 6,     Boxscore,
, Seattle Mariners, 3, @,  New York Yankees, 2,     Boxscore,
,Kansas City Royals, 3, @,  Oakland Athletics, 5,     Boxscore,
, Washington Nationals, 8, @,  Philadelphia Phillies, 1,     Boxscore,
,Milwaukee Brewers, 0, @,  Pittsburgh Pirates, 5,     Boxscore,
,Arizona D'Backs, 3, @,  San Diego Padres, 5,     Boxscore,
, Cincinnati Reds, 9, @,  St. Louis Cardinals, 8,     Boxscore,
,Chicago White Sox, 2, @,  Tampa Bay Rays, 7,     Boxscore,
,Baltimore Orioles, 4, @,  Texas Rangers, 8,     Boxscore,
, Toronto Blue Jays, 5, @,  Boston Red Sox, 3,     Boxscore,
, Colorado Rockies, 2, @,  Chicago Cubs, 0,     Boxscore,
, New York Mets, 6, @,  Cleveland Indians, 0,     Boxscore,
,Detroit Tigers, 4, @,  Houston Astros, 5,     Boxscore,
,San Francisco Giants, 1, @,  Los Angeles Dodgers, 3,     Boxscore,
, Atlanta Braves, 6, @,  Miami Marlins, 5,     Boxscore,
,LA Angels of Anaheim, 2, @,  Minnesota Twins, 3,     Boxscore,
,Seattle Mariners, 3, @,  New York Yankees, 4,     Boxscore,
,Kansas City Royals, 2, @,  Oakland Athletics, 3,     Boxscore,
,Washington Nationals, 2, @,  Philadelphia Phillies, 3,     Boxscore,
,Milwaukee Brewers, 3, @,  Pittsburgh Pirates, 9,     Boxscore,
, Arizona D'Backs, 7, @,  San Diego Padres, 3,     Boxscore,
,Cincinnati Reds, 3, @,  St. Louis Cardinals, 4,     Boxscore,
,Chicago White Sox, 2, @,  Tampa Bay Rays, 3,     Boxscore,
, Toronto Blue Jays, 4, @,  Boston Red Sox, 3,     Boxscore,
, LA Angels of Anaheim, 7, @,  Chicago White Sox, 0,     Boxscore,
, Colorado Rockies, 5, @,  Cincinnati Reds, 1,     Boxscore,
,Washington Nationals, 1, @,  Miami Marlins, 6,     Boxscore,
,Milwaukee Brewers, 4, @,  Minnesota Twins, 7,     Boxscore,
, New York Mets, 5, @,  Philadelphia Phillies, 2,     Boxscore,
, Arizona D'Backs, 9, @,  San Francisco Giants, 7,     Boxscore,
, Chicago Cubs, 5, @,  St. Louis Cardinals, 0,     Boxscore,
,Los Angeles Dodgers, 1, @,  Atlanta Braves, 8,     Boxscore,
, Toronto Blue Jays, 4, @,  Baltimore Orioles, 3,     Boxscore,
, Tampa Bay Rays, 3, @,  Boston Red Sox, 0,     Boxscore,
,LA Angels of Anaheim, 0, @,  Chicago White Sox, 5,     Boxscore,
