, Arizona D'Backs, 5, @,  Colorado Rockies, 2,     Boxscore,
, Cleveland Indians, 13, @,  Kansas City Royals, 7,     Boxscore,
,San Diego Padres, 4, @,  Los Angeles Dodgers, 5,     Boxscore,
,Houston Astros, 4, @,  Miami Marlins, 5,     Boxscore,
, Texas Rangers, 4, @,  Minnesota Twins, 3,     Boxscore,
,LA Angels of Anaheim, 5, @,  New York Yankees, 11,     Boxscore,
,New York Mets, 2, @,  Philadelphia Phillies, 8,     Boxscore,
,Oakland Athletics, 3, @,  Seattle Mariners, 5,     Boxscore,
, Pittsburgh Pirates, 4, @,  San Francisco Giants, 1,     Boxscore,
,Chicago Cubs, 3, @,  St. Louis Cardinals, 10,     Boxscore,
,Baltimore Orioles, 2, @,  Toronto Blue Jays, 9,     Boxscore,
, Cincinnati Reds, 8, @,  Washington Nationals, 5,     Boxscore,
,Oakland Athletics, 0, @,  LA Angels of Anaheim, 6,     Boxscore,
,Pittsburgh Pirates, 1, @,  Arizona D'Backs, 5,     Boxscore,
, New York Mets, 6, @,  Atlanta Braves, 1,     Boxscore,
, Tampa Bay Rays, 1, @,  Boston Red Sox, 0,     Boxscore,
, Baltimore Orioles, 10, @,  Chicago White Sox, 4,     Boxscore,
, San Diego Padres, 7, @,  Colorado Rockies, 1,     Boxscore,
, Detroit Tigers, 3, @,  Kansas City Royals, 2,     Boxscore,
, Minnesota Twins, 7, @,  New York Yankees, 3,     Boxscore,
, Philadelphia Phillies, 5, @,  San Francisco Giants, 2,     Boxscore,
,Houston Astros, 3, @,  Washington Nationals, 6,     Boxscore,
, Oakland Athletics, 5, @,  LA Angels of Anaheim, 3,     Boxscore,
, Pittsburgh Pirates, 5, @,  Arizona D'Backs, 4,     Boxscore,
,New York Mets, 3, @,  Atlanta Braves, 9,     Boxscore,
, Texas Rangers, 18, @,  Boston Red Sox, 3,     Boxscore,
, Baltimore Orioles, 3, @,  Chicago White Sox, 2,     Boxscore,
,San Diego Padres, 3, @,  Colorado Rockies, 5,     Boxscore,
, Detroit Tigers, 3, @,  Kansas City Royals, 1,     Boxscore,
,Chicago Cubs, 2, @,  Miami Marlins, 5,     Boxscore,
,Los Angeles Dodgers, 4, @,  Milwaukee Brewers, 5,     Boxscore,
,Minnesota Twins, 3, @,  New York Yankees, 8,     Boxscore,
, Cleveland Indians, 9, @,  Seattle Mariners, 8,     Boxscore,
,Philadelphia Phillies, 2, @,  San Francisco Giants, 4,     Boxscore,
,Cincinnati Reds, 1, @,  St. Louis Cardinals, 2,     Boxscore,
,Tampa Bay Rays, 3, @,  Toronto Blue Jays, 7,     Boxscore,
,Houston Astros, 0, @,  Washington Nationals, 1,     Boxscore,
, Oakland Athletics, 6, @,  LA Angels of Anaheim, 0,     Boxscore,
, Pittsburgh Pirates, 2, @,  Arizona D'Backs, 1,     Boxscore,
,New York Mets, 6, @,  Atlanta Braves, 14,     Boxscore,
, Texas Rangers, 6, @,  Boston Red Sox, 3,     Boxscore,
