, Baltimore Orioles, 4, @,  Tampa Bay Devil Rays, 3,     Boxscore,
,Oakland Athletics, 4, @,  Texas Rangers, 5,     Boxscore,
, Boston Red Sox, 8, @,  Toronto Blue Jays, 7,     Boxscore,
,Oakland Athletics, 5, @,  Anaheim Angels, 9,     Boxscore,
, Milwaukee Brewers, 11, @,  Arizona D'Backs, 7,     Boxscore,
, Pittsburgh Pirates, 3, @,  Chicago Cubs, 2,     Boxscore,
,Philadelphia Phillies, 6, @,  Cincinnati Reds, 7,     Boxscore,
, Kansas City Royals, 1, @,  Cleveland Indians, 0,     Boxscore,
, Chicago White Sox, 5, @,  Detroit Tigers, 0,     Boxscore,
,Atlanta Braves, 4, @,  Florida Marlins, 7,     Boxscore,
,St. Louis Cardinals, 2, @,  Houston Astros, 3,     Boxscore,
,New York Mets, 0, @,  Montreal Expos, 10,     Boxscore,
,Colorado Rockies, 4, @,  San Diego Padres, 6,     Boxscore,
, Texas Rangers, 4, @,  Seattle Mariners, 2,     Boxscore,
,Los Angeles Dodgers, 2, @,  San Francisco Giants, 3,     Boxscore,
, Minnesota Twins, 6, @,  Toronto Blue Jays, 4,     Boxscore,
,Oakland Athletics, 4, @,  Anaheim Angels, 9,     Boxscore,
, Milwaukee Brewers, 3, @,  Arizona D'Backs, 2,     Boxscore,
, Baltimore Orioles, 13, @,  Boston Red Sox, 6,     Boxscore,
,Pittsburgh Pirates, 0, @,  Chicago Cubs, 4,     Boxscore,
, Philadelphia Phillies, 8, @,  Cincinnati Reds, 5,     Boxscore,
, Kansas City Royals, 5, @,  Cleveland Indians, 2,     Boxscore,
,Chicago White Sox, 3, @,  Detroit Tigers, 4,     Boxscore,
,Atlanta Braves, 5, @,  Florida Marlins, 12,     Boxscore,
, St. Louis Cardinals, 3, @,  Houston Astros, 0,     Boxscore,
,New York Mets, 4, @,  Montreal Expos, 5,     Boxscore,
,Tampa Bay Devil Rays, 4, @,  New York Yankees, 5,     Boxscore,
, Colorado Rockies, 3, @,  San Diego Padres, 2,     Boxscore,
,Texas Rangers, 4, @,  Seattle Mariners, 13,     Boxscore,
, Minnesota Twins, 9, @,  Toronto Blue Jays, 6,     Boxscore,
,Oakland Athletics, 2, @,  Anaheim Angels, 8,     Boxscore,
,Milwaukee Brewers, 3, @,  Arizona D'Backs, 9,     Boxscore,
,Baltimore Orioles, 0, @,  Boston Red Sox, 2,     Boxscore,
,Pittsburgh Pirates, 3, @,  Chicago Cubs, 4,     Boxscore,
, Philadelphia Phillies, 13, @,  Cincinnati Reds, 1,     Boxscore,
,Kansas City Royals, 1, @,  Cleveland Indians, 6,     Boxscore,
, Chicago White Sox, 3, @,  Detroit Tigers, 2,     Boxscore,
, Atlanta Braves, 7, @,  Florida Marlins, 1,     Boxscore,
, St. Louis Cardinals, 11, @,  Houston Astros, 8,     Boxscore,
,New York Mets, 1, @,  Montreal Expos, 2,     Boxscore,
, Tampa Bay Devil Rays, 2, @,  New York Yankees, 1,     Boxscore,
,Colorado Rockies, 2, @,  San Diego Padres, 6,     Boxscore,
,Texas Rangers, 3, @,  Seattle Mariners, 4,     Boxscore,
,Los Angeles Dodgers, 4, @,  San Francisco Giants, 5,     Boxscore,
, Minnesota Twins, 9, @,  Toronto Blue Jays, 3,     Boxscore,
, Colorado Rockies, 5, @,  Arizona D'Backs, 3,     Boxscore,
, Cincinnati Reds, 11, @,  Chicago Cubs, 3,     Boxscore,
, Kansas City Royals, 12, @,  Cleveland Indians, 4,     Boxscore,
, St. Louis Cardinals, 7, @,  Milwaukee Brewers, 5,     Boxscore,
,New York Mets, 3, @,  Montreal Expos, 5,     Boxscore,
,Toronto Blue Jays, 9, @,  New York Yankees, 10,     Boxscore,
,Florida Marlins, 2, @,  Philadelphia Phillies, 5,     Boxscore,
,Oakland Athletics, 3, @,  Seattle Mariners, 4,     Boxscore,
,Houston Astros, 2, @,  San Francisco Giants, 4,     Boxscore,
,Anaheim Angels, 0, @,  Texas Rangers, 4,     Boxscore,
, Colorado Rockies, 12, @,  Arizona D'Backs, 1,     Boxscore,
,Tampa Bay Devil Rays, 5, @,  Boston Red Sox, 6,     Boxscore,
, Kansas City Royals, 8, @,  Chicago White Sox, 5,     Boxscore,
,Cincinnati Reds, 1, @,  Chicago Cubs, 11,     Boxscore,
,Baltimore Orioles, 3, @,  Cleveland Indians, 8,     Boxscore,
, San Diego Padres, 3, @,  Los Angeles Dodgers, 2,     Boxscore,
,St. Louis Cardinals, 1, @,  Milwaukee Brewers, 6,     Boxscore,
,Detroit Tigers, 4, @,  Minnesota Twins, 6,     Boxscore,
, Atlanta Braves, 2, @,  Montreal Expos, 1,     Boxscore,
,Toronto Blue Jays, 0, @,  New York Yankees, 5,     Boxscore,
,Florida Marlins, 3, @,  Philadelphia Phillies, 4,     Boxscore,
, New York Mets, 3, @,  Pittsburgh Pirates, 1,     Boxscore,
,Oakland Athletics, 3, @,  Seattle Mariners, 5,     Boxscore,
,Houston Astros, 4, @,  San Francisco Giants, 8,     Boxscore,
,Anaheim Angels, 4, @,  Texas Rangers, 5,     Boxscore,
,Colorado Rockies, 3, @,  Arizona D'Backs, 4,     Boxscore,
,Tampa Bay Devil Rays, 4, @,  Boston Red Sox, 6,     Boxscore,
,Kansas City Royals, 3, @,  Chicago White Sox, 4,     Boxscore,
,Cincinnati Reds, 4, @,  Chicago Cubs, 10,     Boxscore,
, Baltimore Orioles, 4, @,  Cleveland Indians, 3,     Boxscore,
,San Diego Padres, 0, @,  Los Angeles Dodgers, 3,     Boxscore,
, St. Louis Cardinals, 15, @,  Milwaukee Brewers, 2,     Boxscore,
,Detroit Tigers, 2, @,  Minnesota Twins, 4,     Boxscore,
, Atlanta Braves, 3, @,  Montreal Expos, 2,     Boxscore,
, Toronto Blue Jays, 7, @,  New York Yankees, 6,     Boxscore,
, Florida Marlins, 3, @,  Philadelphia Phillies, 1,     Boxscore,
,New York Mets, 3, @,  Pittsburgh Pirates, 6,     Boxscore,
, Oakland Athletics, 4, @,  Seattle Mariners, 1,     Boxscore,
, Houston Astros, 8, @,  San Francisco Giants, 5,     Boxscore,
, Anaheim Angels, 9, @,  Texas Rangers, 8,     Boxscore,
,Colorado Rockies, 2, @,  Arizona D'Backs, 11,     Boxscore,
,Tampa Bay Devil Rays, 0, @,  Boston Red Sox, 6,     Boxscore,
,Kansas City Royals, 2, @,  Chicago White Sox, 8,     Boxscore,
,Cincinnati Reds, 3, @,  Chicago Cubs, 16,     Boxscore,
, Baltimore Orioles, 6, @,  Cleveland Indians, 4,     Boxscore,
,San Diego Padres, 3, @,  Los Angeles Dodgers, 4,     Boxscore,
,Houston Astros, 2, @,  Milwaukee Brewers, 4,     Boxscore,
,Detroit Tigers, 0, @,  Minnesota Twins, 6,     Boxscore,
, Atlanta Braves, 14, @,  Montreal Expos, 8,     Boxscore,
,Toronto Blue Jays, 0, @,  New York Yankees, 4,     Boxscore,
, Florida Marlins, 7, @,  Philadelphia Phillies, 3,     Boxscore,
, New York Mets, 7, @,  Pittsburgh Pirates, 2,     Boxscore,
,Oakland Athletics, 3, @,  Seattle Mariners, 4,     Boxscore,
,Anaheim Angels, 7, @,  Texas Rangers, 9,     Boxscore,
, Seattle Mariners, 8, @,  Anaheim Angels, 2,     Boxscore,
,Philadelphia Phillies, 4, @,  Atlanta Braves, 5,     Boxscore,
,Tampa Bay Devil Rays, 7, @,  Baltimore Orioles, 9,     Boxscore,
,Toronto Blue Jays, 3, @,  Boston Red Sox, 7,     Boxscore,
,Cleveland Indians, 3, @,  Chicago White Sox, 5,     Boxscore,
,San Diego Padres, 1, @,  Colorado Rockies, 12,     Boxscore,
,Detroit Tigers, 3, @,  Kansas City Royals, 4,     Boxscore,
, San Francisco Giants, 5, @,  Los Angeles Dodgers, 1,     Boxscore,
, Houston Astros, 11, @,  Milwaukee Brewers, 5,     Boxscore,
, New York Yankees, 11, @,  Minnesota Twins, 4,     Boxscore,
,Florida Marlins, 3, @,  New York Mets, 6,     Boxscore,
,Texas Rangers, 0, @,  Oakland Athletics, 9,     Boxscore,
, Chicago Cubs, 7, @,  Pittsburgh Pirates, 2,     Boxscore,
