, Detroit Tigers, 5, @,  Toronto Blue Jays, 4,     Boxscore,
, Colorado Rockies, 6, @,  Arizona D'Backs, 3,     Boxscore,
, Florida Marlins, 11, @,  Atlanta Braves, 4,     Boxscore,
,Kansas City Royals, 1, @,  Baltimore Orioles, 8,     Boxscore,
,LA Angels of Anaheim, 1, @,  Boston Red Sox, 10,     Boxscore,
, Cincinnati Reds, 6, @,  Chicago Cubs, 5,     Boxscore,
, Chicago White Sox, 6, @,  Cleveland Indians, 4,     Boxscore,
,San Diego Padres, 1, @,  Los Angeles Dodgers, 9,     Boxscore,
, Tampa Bay Devil Rays, 4, @,  Minnesota Twins, 2,     Boxscore,
,Washington Nationals, 2, @,  New York Mets, 3,     Boxscore,
,New York Yankees, 4, @,  Oakland Athletics, 5,     Boxscore,
, Houston Astros, 9, @,  Philadelphia Phillies, 6,     Boxscore,
, San Francisco Giants, 8, @,  Pittsburgh Pirates, 5,     Boxscore,
, Texas Rangers, 5, @,  Seattle Mariners, 2,     Boxscore,
,Detroit Tigers, 1, @,  Toronto Blue Jays, 2,     Boxscore,
,Colorado Rockies, 4, @,  Arizona D'Backs, 5,     Boxscore,
,Kansas City Royals, 4, @,  Baltimore Orioles, 6,     Boxscore,
,LA Angels of Anaheim, 0, @,  Boston Red Sox, 8,     Boxscore,
,Cincinnati Reds, 0, @,  Chicago Cubs, 7,     Boxscore,
,Chicago White Sox, 0, @,  Cleveland Indians, 4,     Boxscore,
, San Diego Padres, 7, @,  Los Angeles Dodgers, 2,     Boxscore,
,Tampa Bay Devil Rays, 5, @,  Minnesota Twins, 12,     Boxscore,
, Washington Nationals, 6, @,  New York Mets, 2,     Boxscore,
, New York Yankees, 4, @,  Oakland Athletics, 3,     Boxscore,
,Houston Astros, 5, @,  Philadelphia Phillies, 8,     Boxscore,
,Texas Rangers, 3, @,  Seattle Mariners, 8,     Boxscore,
, Milwaukee Brewers, 3, @,  St. Louis Cardinals, 2,     Boxscore,
, Detroit Tigers, 10, @,  Toronto Blue Jays, 7,     Boxscore,
,Colorado Rockies, 4, @,  Arizona D'Backs, 6,     Boxscore,
,Florida Marlins, 4, @,  Atlanta Braves, 8,     Boxscore,
, Cincinnati Reds, 1, @,  Chicago Cubs, 0,     Boxscore,
,Chicago White Sox, 1, @,  Cleveland Indians, 2,     Boxscore,
,San Diego Padres, 3, @,  Los Angeles Dodgers, 9,     Boxscore,
, Tampa Bay Devil Rays, 6, @,  Minnesota Twins, 4,     Boxscore,
,New York Yankees, 4, @,  Oakland Athletics, 5,     Boxscore,
,Texas Rangers, 6, @,  Seattle Mariners, 14,     Boxscore,
,Milwaukee Brewers, 2, @,  St. Louis Cardinals, 10,     Boxscore,
,Detroit Tigers, 1, @,  Toronto Blue Jays, 2,     Boxscore,
, Los Angeles Dodgers, 5, @,  Arizona D'Backs, 1,     Boxscore,
,LA Angels of Anaheim, 2, @,  Boston Red Sox, 7,     Boxscore,
,San Diego Padres, 4, @,  Chicago Cubs, 12,     Boxscore,
, Milwaukee Brewers, 10, @,  Cincinnati Reds, 6,     Boxscore,
, San Francisco Giants, 8, @,  Colorado Rockies, 0,     Boxscore,
,Kansas City Royals, 5, @,  Detroit Tigers, 12,     Boxscore,
,Florida Marlins, 3, @,  Houston Astros, 4,     Boxscore,
, Pittsburgh Pirates, 3, @,  St. Louis Cardinals, 2,     Boxscore,
, Baltimore Orioles, 9, @,  Tampa Bay Devil Rays, 7,     Boxscore,
,Atlanta Braves, 1, @,  Washington Nationals, 5,     Boxscore,
, Los Angeles Dodgers, 6, @,  Arizona D'Backs, 4,     Boxscore,
, Texas Rangers, 8, @,  Chicago White Sox, 1,     Boxscore,
, San Diego Padres, 4, @,  Chicago Cubs, 3,     Boxscore,
,Milwaukee Brewers, 5, @,  Cincinnati Reds, 11,     Boxscore,
,San Francisco Giants, 3, @,  Colorado Rockies, 5,     Boxscore,
,Kansas City Royals, 6, @,  Detroit Tigers, 7,     Boxscore,
,Florida Marlins, 1, @,  Houston Astros, 6,     Boxscore,
,Cleveland Indians, 3, @,  New York Yankees, 10,     Boxscore,
,LA Angels of Anaheim, 1, @,  Oakland Athletics, 4,     Boxscore,
, New York Mets, 8, @,  Philadelphia Phillies, 1,     Boxscore,
, Minnesota Twins, 11, @,  Seattle Mariners, 2,     Boxscore,
, Pittsburgh Pirates, 6, @,  St. Louis Cardinals, 1,     Boxscore,
,Baltimore Orioles, 4, @,  Tampa Bay Devil Rays, 6,     Boxscore,
,Boston Red Sox, 1, @,  Toronto Blue Jays, 2,     Boxscore,
, Atlanta Braves, 6, @,  Washington Nationals, 4,     Boxscore,
,Chicago Cubs, 6, @,  Atlanta Braves, 8,     Boxscore,
,Texas Rangers, 0, @,  Chicago White Sox, 6,     Boxscore,
, Houston Astros, 7, @,  Cincinnati Reds, 2,     Boxscore,
,Los Angeles Dodgers, 2, @,  Colorado Rockies, 7,     Boxscore,
, Kansas City Royals, 4, @,  Detroit Tigers, 3,     Boxscore,
, New York Mets, 9, @,  Florida Marlins, 2,     Boxscore,
,Pittsburgh Pirates, 3, @,  Milwaukee Brewers, 7,     Boxscore,
,Cleveland Indians, 2, @,  New York Yankees, 9,     Boxscore,
,LA Angels of Anaheim, 0, @,  Oakland Athletics, 3,     Boxscore,
, Arizona D'Backs, 5, @,  San Diego Padres, 2,     Boxscore,
, Minnesota Twins, 5, @,  Seattle Mariners, 4,     Boxscore,
,St. Louis Cardinals, 5, @,  San Francisco Giants, 6,     Boxscore,
, Baltimore Orioles, 6, @,  Tampa Bay Devil Rays, 4,     Boxscore,
, Boston Red Sox, 4, @,  Toronto Blue Jays, 1,     Boxscore,
,Philadelphia Phillies, 4, @,  Washington Nationals, 5,     Boxscore,
, Chicago Cubs, 3, @,  Atlanta Braves, 0,     Boxscore,
,Texas Rangers, 4, @,  Chicago White Sox, 6,     Boxscore,
, Houston Astros, 8, @,  Cincinnati Reds, 6,     Boxscore,
, Los Angeles Dodgers, 8, @,  Colorado Rockies, 1,     Boxscore,
, New York Mets, 11, @,  Florida Marlins, 3,     Boxscore,
