,Pittsburgh Pirates, 6, @,  Chicago Cubs, 7,     Boxscore,
,Arizona D'Backs, 8, @,  Colorado Rockies, 9,     Boxscore,
,Cleveland Indians, 0, @,  Detroit Tigers, 1,     Boxscore,
,San Francisco Giants, 6, @,  Milwaukee Brewers, 11,     Boxscore,
,Chicago White Sox, 4, @,  Minnesota Twins, 9,     Boxscore,
,Florida Marlins, 2, @,  Montreal Expos, 8,     Boxscore,
, Cincinnati Reds, 1, @,  New York Mets, 0,     Boxscore,
, Texas Rangers, 9, @,  Oakland Athletics, 8,     Boxscore,
,Los Angeles Dodgers, 4, @,  San Diego Padres, 5,     Boxscore,
, Houston Astros, 7, @,  St. Louis Cardinals, 4,     Boxscore,
,Kansas City Royals, 4, @,  Toronto Blue Jays, 5,     Boxscore,
, Seattle Mariners, 7, @,  Anaheim Angels, 5,     Boxscore,
,Philadelphia Phillies, 0, @,  Atlanta Braves, 3,     Boxscore,
, Tampa Bay Devil Rays, 7, @,  Baltimore Orioles, 4,     Boxscore,
,New York Yankees, 4, @,  Boston Red Sox, 5,     Boxscore,
,Pittsburgh Pirates, 1, @,  Chicago Cubs, 5,     Boxscore,
,Arizona D'Backs, 7, @,  Colorado Rockies, 10,     Boxscore,
,San Francisco Giants, 4, @,  Milwaukee Brewers, 7,     Boxscore,
,Chicago White Sox, 3, @,  Minnesota Twins, 4,     Boxscore,
, Florida Marlins, 6, @,  Montreal Expos, 3,     Boxscore,
, Cincinnati Reds, 3, @,  New York Mets, 1,     Boxscore,
, Texas Rangers, 10, @,  Oakland Athletics, 8,     Boxscore,
, Los Angeles Dodgers, 5, @,  San Diego Padres, 4,     Boxscore,
,Houston Astros, 5, @,  St. Louis Cardinals, 6,     Boxscore,
, Kansas City Royals, 4, @,  Toronto Blue Jays, 2,     Boxscore,
, Oakland Athletics, 6, @,  Anaheim Angels, 3,     Boxscore,
,Florida Marlins, 3, @,  Atlanta Braves, 4,     Boxscore,
,Tampa Bay Devil Rays, 2, @,  Baltimore Orioles, 6,     Boxscore,
,New York Yankees, 1, @,  Boston Red Sox, 4,     Boxscore,
, Kansas City Royals, 5, @,  Minnesota Twins, 3,     Boxscore,
,Montreal Expos, 3, @,  New York Mets, 4,     Boxscore,
,Houston Astros, 0, @,  Pittsburgh Pirates, 3,     Boxscore,
,Texas Rangers, 7, @,  Seattle Mariners, 9,     Boxscore,
, Arizona D'Backs, 2, @,  St. Louis Cardinals, 1,     Boxscore,
, Oakland Athletics, 5, @,  Anaheim Angels, 1,     Boxscore,
, Florida Marlins, 3, @,  Atlanta Braves, 2,     Boxscore,
, Cleveland Indians, 8, @,  Baltimore Orioles, 1,     Boxscore,
, Philadelphia Phillies, 6, @,  Chicago Cubs, 3,     Boxscore,
,Milwaukee Brewers, 2, @,  Cincinnati Reds, 3,     Boxscore,
,Chicago White Sox, 4, @,  Detroit Tigers, 7,     Boxscore,
,Kansas City Royals, 5, @,  Minnesota Twins, 6,     Boxscore,
