,Baltimore Orioles, 2, @,  Tampa Bay Rays, 6,     Boxscore,
, Toronto Blue Jays, 5, @,  Texas Rangers, 4,     Boxscore,
,Atlanta Braves, 4, @,  Washington Nationals, 5,     Boxscore,
,Toronto Blue Jays, 3, @,  Baltimore Orioles, 4,     Boxscore,
, Oakland Athletics, 2, @,  Chicago White Sox, 1,     Boxscore,
, Boston Red Sox, 6, @,  Cleveland Indians, 4,     Boxscore,
,Minnesota Twins, 9, @,  Detroit Tigers, 11,     Boxscore,
, Pittsburgh Pirates, 6, @,  Los Angeles Dodgers, 4,     Boxscore,
, Kansas City Royals, 5, @,  Seattle Mariners, 1,     Boxscore,
,Arizona D'Backs, 4, @,  San Francisco Giants, 5,     Boxscore,
, New York Yankees, 8, @,  Tampa Bay Rays, 7,     Boxscore,
, LA Angels of Anaheim, 7, @,  Texas Rangers, 4,     Boxscore,
, Toronto Blue Jays, 11, @,  Baltimore Orioles, 3,     Boxscore,
,Oakland Athletics, 1, @,  Chicago White Sox, 4,     Boxscore,
,Cincinnati Reds, 5, @,  Chicago Cubs, 9,     Boxscore,
, Boston Red Sox, 5, @,  Cleveland Indians, 3,     Boxscore,
,Minnesota Twins, 5, @,  Detroit Tigers, 6,     Boxscore,
,Atlanta Braves, 0, @,  Florida Marlins, 4,     Boxscore,
,Pittsburgh Pirates, 2, @,  Los Angeles Dodgers, 11,     Boxscore,
,Washington Nationals, 0, @,  New York Mets, 6,     Boxscore,
,Houston Astros, 3, @,  Philadelphia Phillies, 4,     Boxscore,
,Colorado Rockies, 0, @,  San Diego Padres, 6,     Boxscore,
,Kansas City Royals, 6, @,  Seattle Mariners, 11,     Boxscore,
, Arizona D'Backs, 8, @,  San Francisco Giants, 2,     Boxscore,
,Milwaukee Brewers, 1, @,  St. Louis Cardinals, 6,     Boxscore,
, New York Yankees, 5, @,  Tampa Bay Rays, 3,     Boxscore,
, LA Angels of Anaheim, 7, @,  Texas Rangers, 4,     Boxscore,
, Kansas City Royals, 3, @,  LA Angels of Anaheim, 2,     Boxscore,
, Chicago White Sox, 3, @,  Baltimore Orioles, 1,     Boxscore,
,Cincinnati Reds, 3, @,  Chicago Cubs, 12,     Boxscore,
, Detroit Tigers, 13, @,  Cleveland Indians, 2,     Boxscore,
,Atlanta Braves, 5, @,  Florida Marlins, 6,     Boxscore,
,Pittsburgh Pirates, 1, @,  Los Angeles Dodgers, 8,     Boxscore,
,Tampa Bay Rays, 5, @,  Minnesota Twins, 6,     Boxscore,
,Boston Red Sox, 9, @,  New York Yankees, 15,     Boxscore,
,Washington Nationals, 2, @,  New York Mets, 5,     Boxscore,
, Seattle Mariners, 4, @,  Oakland Athletics, 2,     Boxscore,
, Houston Astros, 2, @,  Philadelphia Phillies, 1,     Boxscore,
, Colorado Rockies, 10, @,  San Diego Padres, 2,     Boxscore,
, Arizona D'Backs, 4, @,  San Francisco Giants, 1,     Boxscore,
,Milwaukee Brewers, 4, @,  St. Louis Cardinals, 5,     Boxscore,
, Texas Rangers, 7, @,  Toronto Blue Jays, 5,     Boxscore,
,Kansas City Royals, 3, @,  LA Angels of Anaheim, 5,     Boxscore,
,Chicago White Sox, 5, @,  Baltimore Orioles, 6,     Boxscore,
, Cincinnati Reds, 9, @,  Chicago Cubs, 2,     Boxscore,
,Detroit Tigers, 1, @,  Cleveland Indians, 11,     Boxscore,
, Atlanta Braves, 8, @,  Florida Marlins, 0,     Boxscore,
, Tampa Bay Rays, 7, @,  Minnesota Twins, 3,     Boxscore,
, Boston Red Sox, 7, @,  New York Yankees, 5,     Boxscore,
,Washington Nationals, 2, @,  New York Mets, 3,     Boxscore,
, Seattle Mariners, 8, @,  Oakland Athletics, 1,     Boxscore,
,Houston Astros, 2, @,  Philadelphia Phillies, 10,     Boxscore,
, Colorado Rockies, 2, @,  San Diego Padres, 1,     Boxscore,
, Milwaukee Brewers, 5, @,  St. Louis Cardinals, 3,     Boxscore,
, Texas Rangers, 4, @,  Toronto Blue Jays, 1,     Boxscore,
,Seattle Mariners, 4, @,  LA Angels of Anaheim, 5,     Boxscore,
,San Diego Padres, 0, @,  Arizona D'Backs, 9,     Boxscore,
,Los Angeles Dodgers, 1, @,  Atlanta Braves, 6,     Boxscore,
,New York Yankees, 2, @,  Baltimore Orioles, 8,     Boxscore,
,Texas Rangers, 3, @,  Boston Red Sox, 11,     Boxscore,
,Pittsburgh Pirates, 2, @,  Chicago Cubs, 3,     Boxscore,
, Milwaukee Brewers, 5, @,  Cincinnati Reds, 2,     Boxscore,
, Washington Nationals, 6, @,  Florida Marlins, 4,     Boxscore,
, Colorado Rockies, 11, @,  Houston Astros, 5,     Boxscore,
, Cleveland Indians, 4, @,  Minnesota Twins, 0,     Boxscore,
,Kansas City Royals, 2, @,  Oakland Athletics, 13,     Boxscore,
, New York Mets, 6, @,  Philadelphia Phillies, 4,     Boxscore,
,San Francisco Giants, 1, @,  St. Louis Cardinals, 11,     Boxscore,
, Chicago White Sox, 9, @,  Tampa Bay Rays, 2,     Boxscore,
, Detroit Tigers, 8, @,  Toronto Blue Jays, 4,     Boxscore,
,Seattle Mariners, 1, @,  LA Angels of Anaheim, 4,     Boxscore,
,San Diego Padres, 3, @,  Arizona D'Backs, 10,     Boxscore,
,Los Angeles Dodgers, 1, @,  Atlanta Braves, 4,     Boxscore,
,New York Yankees, 0, @,  Baltimore Orioles, 6,     Boxscore,
,Texas Rangers, 3, @,  Boston Red Sox, 5,     Boxscore,
,Pittsburgh Pirates, 1, @,  Chicago Cubs, 13,     Boxscore,
, Milwaukee Brewers, 5, @,  Cincinnati Reds, 3,     Boxscore,
,Washington Nationals, 5, @,  Florida Marlins, 6,     Boxscore,
, Colorado Rockies, 3, @,  Houston Astros, 2,     Boxscore,
,Cleveland Indians, 0, @,  Minnesota Twins, 3,     Boxscore,
,Kansas City Royals, 5, @,  Oakland Athletics, 6,     Boxscore,
, New York Mets, 4, @,  Philadelphia Phillies, 2,     Boxscore,
, San Francisco Giants, 3, @,  St. Louis Cardinals, 0,     Boxscore,
,Chicago White Sox, 0, @,  Tampa Bay Rays, 5,     Boxscore,
,Detroit Tigers, 2, @,  Toronto Blue Jays, 3,     Boxscore,
, Seattle Mariners, 4, @,  LA Angels of Anaheim, 2,     Boxscore,
, San Diego Padres, 9, @,  Arizona D'Backs, 4,     Boxscore,
,Los Angeles Dodgers, 1, @,  Atlanta Braves, 6,     Boxscore,
, New York Yankees, 7, @,  Baltimore Orioles, 1,     Boxscore,
,Texas Rangers, 5, @,  Boston Red Sox, 6,     Boxscore,
